"Iteration","Chassis_SCD Monitor: Chassis_SCD Monitor","Chassis_SCL Monitor: Chassis_SCL Monitor","FW_SCD Monitor: FW_SCD Monitor","FW_SCL Monitor: FW_SCL Monitor","Front_Wheel_SCD Monitor: Front_Wheel_SCD Monitor","Front_Wheel_SCL Monitor: Front_Wheel_SCL Monitor","Front_sus_SCD Monitor: Front_sus_SCD Monitor","Front_sus_SCL Monitor: Front_sus_SCL Monitor","Full_SCD Monitor: Full_SCD Monitor","Full_SCL Monitor: Full_SCL Monitor","RW_SCD Monitor: RW_SCD Monitor","RW_SCL Monitor: RW_SCL Monitor","Rear_Wheel_SCD Monitor: Rear_Wheel_SCD Monitor","Rear_Wheel_SCL Monitor: Rear_Wheel_SCL Monitor","Rear_sus_SCD Monitor: Rear_sus_SCD Monitor","Rear_sus_SCL Monitor: Rear_sus_SCL Monitor","SW_SCD Monitor: SW_SCD Monitor","SW_SCL Monitor: SW_SCL Monitor"
1.0,0.37875615420001246,0.006044063845613553,0.16853541016813173,0.018658816358090857,0.08553294526373066,8.19992462562543E-6,0.012022502945682759,2.5899609107254124E-5,1.3484985315883595,0.08388336140055565,0.33153434117864844,0.04385751600958749,0.0855346155856442,3.1763373034138835E-6,0.01775063105331765,-1.0315649190393635E-4,0.26883193119319154,0.015388845808131383
2.0,0.893403072456886,-0.036214762797638834,0.298077688328258,-0.11602380524823805,0.31377582776834984,-1.088516244596057E-4,0.06633086591465748,-6.71466840005055E-5,3.213895332979188,-0.5021330675005896,0.6822835542783681,-0.26050104535698937,0.31357971222608577,-1.300128204180668E-4,0.08368409156389806,6.486766761930388E-4,0.5627605204426852,-0.08973611964503835
3.0,0.8822881857332912,-0.03808010502587733,0.2904648460439109,-0.11817732057493859,0.3181009171055172,-1.7698036958269328E-4,0.06647682449666699,-6.686276359040193E-5,3.1797398447994807,-0.5105458106725174,0.6670707464752978,-0.26396840059576726,0.3178453561353295,-2.1509232895621666E-4,0.08375375053539204,6.71240452272606E-4,0.5537392182740748,-0.09053228946607735
4.0,0.8658104217392646,-0.03918687931329558,0.2819597117070169,-0.11872424941740423,0.31857284463023183,-2.221609104951534E-4,0.065984131127028,-6.782591099542158E-5,3.124657770341943,-0.5120979444926002,0.6490716134151411,-0.2640258474791569,0.31826964722135864,-2.7510069149879585E-4,0.08305415667738358,6.829938457944345E-4,0.5419352438245186,-0.09027887461554837
5.0,0.8417286011661791,-0.0395835773523121,0.27170760391976234,-0.11741804484139598,0.31458114545593,-2.534256086159905E-4,0.06473614427481762,-7.009640374378904E-5,3.0407232438239054,-0.5058383795367245,0.6264542480554587,-0.26011023744676665,0.3142469047605274,-3.1834141865716897E-4,0.08143425071832583,6.829999069214789E-4,0.5258343454729043,-0.0887676563721544
6.0,0.8102090841671223,-0.03924803853740053,0.25979187969779843,-0.11427459225762647,0.3062363461743471,-2.7559337258476835E-4,0.06275578350027364,-7.337172436667667E-5,2.9289010960431545,-0.49195767043174643,0.5995297149175929,-0.25236751264591417,0.3058892441398839,-3.4770695089569517E-4,0.07891937199470105,6.717744450940908E-4,0.505569671451435,-0.08604262938805213
7.0,0.7719069296659391,-0.03821568774532631,0.24640767800187746,-0.10943431902152922,0.2938553905522694,-2.9310613995519913E-4,0.06010567983969949,-7.717732608467213E-5,2.7917339808154367,-0.47108854899310115,0.5688210014120526,-0.2411358528217706,0.2935144260805665,-3.6729593586205643E-4,0.07558557859804779,6.497828673224404E-4,0.4815372966649847,-0.08221489286989543
8.0,0.7278251370434405,-0.03658357498585273,0.2317970804514589,-0.10315225735705111,0.2779777657387842,-3.065361668139632E-4,0.056880451263086364,-8.106741376187206E-5,2.632959170727538,-0.44428791547923335,0.5349601276138639,-0.2269488929134267,0.2776633902741235,-3.7850575330192725E-4,0.07154913538805197,6.17660094958135E-4,0.4543060829547284,-0.07745474098398321
9.0,0.679263814418744,-0.03438801678668325,0.21633071487376337,-0.09572041657670181,0.2593300891442154,-3.258229499387399E-4,0.053191440605643646,-8.457892715911516E-5,2.457582657489766,-0.4127183382509579,0.49882640813344364,-0.21042705080286428,0.25905849207667125,-3.9013225084449845E-4,0.06694659187714838,5.770589528111588E-4,0.42463510636013646,-0.07195937890957725
10.0,0.6276388367301409,-0.03173324889283598,0.200379112580549,-0.08747994069724,0.238794610345133,-3.395270213062109E-4,0.049152799348954106,-8.716285138134021E-5,2.2711964297235365,-0.3777604233657187,0.4613163698969832,-0.19229774624122276,0.23857896647517796,-3.9033757537128397E-4,0.06192120254323066,5.291224323123063E-4,0.39341453180336766,-0.06596158251867341
11.0,0.5746759490095411,-0.028764549049807964,0.18433552878978351,-0.07880348595642613,0.21731068524188857,-3.5763598389338156E-4,0.0449213589718008,-8.935714281655538E-5,2.080080183359435,-0.3410063574075895,0.42344072157285384,-0.17336288262969707,0.21716067091301738,-3.9228885705167694E-4,0.05666089726236779,4.763615650298768E-4,0.36157437159818206,-0.05971251935292651
12.0,0.521685578439856,-0.025639800389169444,0.16858073843145127,-0.0700636643425363,0.1957847055156463,-3.744432991078003E-4,0.04064074794948246,-9.058959117967799E-5,1.8896924178630314,-0.3040226676373969,0.3861839535027384,-0.15442609649509004,0.1957036632228946,-3.930270129529429E-4,0.05134137550513243,4.217052624539858E-4,0.3297716552958303,-0.05345675176981469
13.0,0.4702236606353144,-0.022538666891328114,0.15348381561826896,-0.06162129627044445,0.17493223977421135,-3.8021492974857655E-4,0.03645308873248689,-9.042430959531983E-5,1.705518167435165,-0.26829424491352816,0.3504414492511449,-0.13622220576100333,0.1749141158509866,-3.84671969939056E-4,0.04613455838951305,3.671376069763408E-4,0.2989352391832393,-0.04742390238844567
14.0,0.4215938381653259,-0.0195733486117576,0.13936458887527953,-0.053802900265248685,0.15537630129834246,-3.722822558140979E-4,0.032473699830479937,-8.886555318108927E-5,1.5320866703242901,-0.23511238832858725,0.3169519113805619,-0.11940073738919443,0.1554121141207043,-3.639282712287891E-4,0.04118062373632186,3.154630258589894E-4,0.2697335929172742,-0.041825789008021516
15.0,0.3767523469151163,-0.016810980966249677,0.12647794208291893,-0.04689545074279315,0.1375866964911229,-3.5295538811105334E-4,0.02879246589624918,-8.60680072564855E-5,1.3728669744782023,-0.20552630668520677,0.2862766118407666,-0.10447726157139253,0.137664673261585,-3.3496770158645054E-4,0.03659161556030154,2.680320339657807E-4,0.2427246224301421,-0.036836654341783216
16.0,0.33633519455812955,-0.01430901645369929,0.11494944852713763,-0.041044622800969946,0.12185880666196006,-3.2314892585819533E-4,0.025476704137890813,-8.226364688649905E-5,1.2300337735769316,-0.18007376854476737,0.2587337713686128,-0.09169816641607872,0.12196697818410586,-2.9909951823653175E-4,0.0324496975553385,2.26269678258511E-4,0.21826317258375638,-0.03254372046129669
17.0,0.30070548975104594,-0.012120409965834784,0.1048143079429236,-0.036295775450222216,0.10830514087603618,-2.8446854812933355E-4,0.02256744770936497,-7.721735944041975E-5,1.1046558871998753,-0.158969242239824,0.23446674521760585,-0.08113861356006036,0.10843328551908189,-2.548799172236735E-4,0.02880468546430026,1.907984277636485E-4,0.1965587847195166,-0.028988675866676836
18.0,0.27011021381102296,-0.010253641576173856,0.09601393071323883,-0.03259857745099219,0.09697124177365515,-2.4140223189920263E-4,0.020076937121140552,-7.14552425098365E-5,0.997194553267216,-0.14221016204663303,0.2134884005703407,-0.07282781010844543,0.09710704491725805,-2.0926415741619455E-4,0.02567550903974844,1.6071888678518314E-4,0.1777512753208113,-0.026168730165981494
19.0,0.24437681101691844,-0.008756825830998115,0.08844686332885823,-0.029854566853456287,0.08765880585837157,-2.0034946968500156E-4,0.01799162594721683,-6.513980965206402E-5,0.9066102788159993,-0.1294845356641853,0.19557725016412592,-0.0665467500056397,0.08779125548864318,-1.6564605028555806E-4,0.023042265496069077,1.3591905935304038E-4,0.161725401515796,-0.024031176703821624
20.0,0.22299499782702203,-0.007590304798486875,0.08198070253335037,-0.02793799098377592,0.08009070068356527,-1.628845983307354E-4,0.01627804032160485,-5.8446691195857876E-5,0.8310636955296724,-0.12027073679052716,0.18042010729254793,-0.06201312738140194,0.08021616285969145,-1.2597296960351837E-4,0.0208628194283427,1.1586887638658259E-4,0.14822016458354775,-0.02249787824411891
21.0,0.20529393725204448,-0.006703254123214268,0.07644328965914107,-0.026682508074485432,0.074022156179895,-1.2906973868855484E-4,0.014887412314351488,-5.171908241073015E-5,0.7683735664657931,-0.11395010106584683,0.16763665001917905,-0.058919995791937047,0.07413962780770021,-9.016817717404152E-5,0.019080699405900025,9.962552843029802E-5,0.1368697938275819,-0.021473011606367026
22.0,0.19074636401599948,-0.006066830943634247,0.07166285685079364,-0.025929647982719035,0.06917114172555208,-1.003227425938024E-4,0.01376527705234086,-4.51046208141941E-5,0.7164724366099424,-0.10994920149596582,0.15685633750291017,-0.05697682032435952,0.06927920230781172,-5.901207040107746E-5,0.017629513254751383,8.591983556611844E-5,0.1273617438997831,-0.020857382647010075
23.0,0.17884061063470105,-0.00567185369732822,0.06748052906792965,-0.025535659022182997,0.06530566918360381,-7.661804811610107E-5,0.012859120873596617,-3.872692068740875E-5,0.6734350760741953,-0.10773369092175165,0.14771975159172535,-0.05589604268837156,0.065401434217709,-3.2441602817872005E-5,0.016444694409668198,7.364617482687308E-5,0.11938326609526156,-0.020555995117074344
24.0,0.1689473006515037,-0.005424143627272633,0.06375588091947264,-0.02537566437376574,0.062221528769872345,-5.6658708411206065E-5,0.012114992820209045,-3.251242039016256E-5,0.6373254759609273,-0.1067325010872842,0.13988870389083374,-0.05541196218972902,0.0623018691014121,-9.838493796115877E-6,0.01546076345968583,6.190147047454671E-5,0.11263443634793793,-0.02048362274439386
25.0,0.16054978536682724,-0.00526218672341991,0.060373222224521704,-0.025349416762662263,0.05971543103001485,-3.9488256077991845E-5,0.011483811614458213,-2.6428470100544418E-5,0.6064307967727105,-0.10648671796106093,0.13306744803883608,-0.055297452626385,0.05977623309709397,9.494265531615712E-6,0.014619596223136876,5.002465713550248E-5,0.10684526917782156,-0.020571264045082322
